Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0.029826,-0.001939,9.807693,0.003852,-0.004999,0.003451
0.03507,0.002588,9.79143,0.004243,-0.007407,0.006426
0.025347,-0.002385,9.798758,0.004429,-0.004948,0.003801
0.03346,0.005311,9.803159,0.004856,-0.007476,0.004359
0.028001,-0.017819,9.816045,0.005117,-0.00502,0.003376
0.030671,-0.001091,9.788715,0.007341,-0.005391,0.004324
0.030513,-0.00719,9.800814,0.006666,-0.005883,0.004302
0.043139,0.000894,9.788614,0.008914,-0.004407,0.004643
0.03375,-0.002271,9.806284,0.004009,-0.00455,0.002916
0.030558,-0.010143,9.808064,0.006659,-0.004691,0.005178
0.03389,-0.007555,9.812859,0.005603,-0.003847,0.002527
0.051425,0.009217,9.78611,0.005757,-0.006112,0.00533
0.047791,0.00452,9.806845,0.004839,-0.003773,0.002198
0.033252,-0.002505,9.790079,0.006204,-0.002862,0.004585
0.04248,0.002922,9.803097,0.007846,-0.004938,0.004105
0.055111,0.00905,9.788495,0.00682,-0.004858,0.003866
0.023448,-0.009091,9.801904,0.005496,-0.005107,0.001243
0.029217,0.001485,9.793541,0.005289,-0.004185,0.005749
0.032331,-0.014646,9.810133,0.005635,-0.004295,0.005888
0.053671,-0.000829,9.811651,0.005744,-0.005186,0.004812
0.045674,-0.000205,9.817571,0.005516,-0.004798,0.006945
0.049643,0.00621,9.815795,0.004435,-0.005786,0.003783
0.013513,-0.020418,9.801673,0.005029,-0.004426,0.005634
0.021313,-0.00581,9.7888,0.003858,-0.006558,0.005844
0.027918,-0.021955,9.789155,0.00409,-0.005921,0.004176
0.025396,0.003346,9.795292,0.003678,-0.007271,0.002274
0.013044,-0.013392,9.801648,0.004024,-0.004696,0.004464
0.029666,0.005958,9.796628,0.005456,-0.001428,0.004873
0.013062,0.012609,9.842605,0.006123,-0.005246,0.00612
0.025609,0.018373,9.742806,0.003568,-0.00414,0.004436
0.011294,-0.005076,9.847159,0.004619,-0.004625,0.005096
0.026234,0.004042,9.795974,0.002961,-0.004273,0.002254
0.02785,-0.006968,9.798074,0.006369,-0.005328,0.005142
0.032692,0.012048,9.773823,0.006456,-0.005203,0.004103
0.028794,-0.014876,9.788778,0.004378,-0.005146,0.00522
0.05569,-0.001186,9.801291,0.005396,-0.004539,0.004593
0.049935,-0.008924,9.815848,0.006975,-0.007241,0.002814
